premium,保険料
memorandum,社内連絡メモ
directory,住所録
exactitude,正確さ
attendee,出席者
tribute,賛辞
gala,お祭り
courier,宅配便業者
honorarium,謝礼金
turbulence,乱気流
fluctuation,変動
referendum,国民投票
collateral,担保
retreat,隠遁の期間
autograph,サイン
contestation,論争
masterstroke,見事な腕前
spell,期間
negligence,怠慢
senescence,老齢
mastermind,立案者
inclusivity,包括性
remittance,送金
wholesaler,卸売業者
stopover,短期滞在
trustee,理事
tier,段階
duplicity,不誠実
prototype,試作品
jargon,専門用語
briefing,打ち合わせ
remuneration,報酬
incumbency,在職期間
turnout,人出
layman,素人
discretion,思慮
quota,割り当て
apprehension,心配
plea,嘆願
obsession,強迫観念
resurgence,復活
stench,悪臭
folly,愚かな行動
tack,やり方
euphoria,幸福感
vengeance,復讐
surrogate,代理
massacre,大虐殺
obscenity,わいせつ
confidant,相談相手
increment,増加
inkling,ほのめかし
prerequisite,前提条件
facade,建物の正面
obituary,死亡記事
mayhem,大混乱
idiosyncrasy,特徴
discrepancy,食い違い
crunch,危機的状態
skirmish,小競り合い
complacency,自己満足
remorse,自責の念
animosity,憎悪
sewage,下水
excerpt,抜粋
frenzy,熱狂
relish ,風味
vernacular,現地言語
demise,死去
ripple,さざ波
fabrication,制作
prospectus,案内書
decadence,堕落
dissident,反体制者
status quo,現状
milestone,画期的出来事
gadget,気の利いた小物
inmate,収容者
wiretap,盗聴する
racket,不正な商売
sting ,おとり捜査
hush money,口止め料
abode,住所
chlorofluorocarbon,フロン
ballot,投票
contraption,仕掛け
configuration,接続機器の設定
diameter,直径
annihilation,絶滅
repository,保管場所
gradient,傾斜
plaintiff,原告
defender,被告人
felicity,慶事
pretext,口実
provision,配給
vandalism,芸術品の破壊
jeopardy,危険
conflagration,大火
grievance,不満
